136,BR620,BRACELETS,SS WITH GREY BROWN BRACELET,643765847796,12.5,51,br620,000,0006,X0868
137,BR621,BRACELETS,SS WITH GREY HEMATITE BRACELET,643765847789,12.5,7,br621,000,0006,X0869
138,BR686123,BRACELETS,GRAY STONE BEADS BR,643765848465,7.25,41,br686123,000,0006,X3165
139,BR690120,BRACELETS,BROWN STONE BEADS BR,643765848458,7.25,39,br690120,000,0006,X3166
140,BR750,BRACELETS,"INOX FRANCO CHAIN BR 8.5"""""""" 6",839546987939,11.5,44,br750,000,0006,X1553
141,BR750G,BRACELETS,"FRANCO IP GOLD 6MM BR 8.5""""""""",839546335815,13.5,28,br750g,000,0006,X1552
142,BR750K,BRACELETS,"FRANCO IP BLACK 6MMD BR 8.5""""""",839546335853,13.5,31,br750k,000,0006,X1550
143,BR7620P,BRACELETS,STL IP BLACK DIAMOND CUT BRACE,643765848113,13.5,88,br7620p,000,0006,X1804
144,BR7622B,BRACELETS,"STL IP BLUE BRACELET 8.5""""",643765848007,13.5,52,br7622b,000,0006,X1805
145,BR7624B,BRACELETS,STL IP BLUE FRANCO BRACELET 8.,643765848021,15.5,58,br7624b,000,0006,X1823
146,BR7626B,BRACELETS,STL IP BLUE ROUNDED FRANCO  BR,643765848038,15.5,15,br7626b,000,0006,X1824
147,BR7628P,BRACELETS,STL IP BLACK FIGARO BRACELET 8,643765848014,15.5,57,br7628p,000,0006,X1827
148,BR7629B,BRACELETS,STL IP BLUE FIGARO BRACELET 8.,643765848076,13.5,118,br7629b,000,0006,X1829
149,BR8021,BRACELETS,"IPGUNMTAL+CABL BR 8""""""""+1 ADJL",839546343278,36.5,107,br8021,000,0006,X1598
150,BR8228K,BRACELETS,"WHEAT CHAIN SLV&BLK 8.5"""""""" 7M",652118302134,13.5,32,br8228k,000,0006,X2009
151,BR828,BRACELETS,BLACK LEATHER W/ IP BLACK STEE,643765847277,33,32,br828,000,0006,X0877
152,BR8605,BRACELETS,LSR LOGON THE ANTIQ STL BAL BR,649558202919,10.5,0,br8605,000,0006,NEW INOX
153,BR8609,BRACELETS,"LSR LOG ON RECT FNDNG BR 8.25""",649558202940,15.5,0,br8609,000,0006,NEW INOX
154,BR8849,BRACELETS,STEEL&BLACK WOVEN RUND8MM,839546986826,23,107,br8849,000,0006,X1902
155,BR8850B,BRACELETS,"RUBBER BLUE STEEL BR8""",649558179556,15.5,6,br8850b,000,0006,X1619
156,BR8850R,BRACELETS,"RUBBER RED STEEL BR8.25""""""""""""",649558179532,15.5,92,br8850r,000,0006,X1617
157,BR8851B,BRACELETS,"BLUE,BLACK,WHT, RUB/STL WEAVE",839546723223,15.5,67,br8851b,000,0006,X1624
158,BR9236,BRACELETS,BLK OXI 5MM FRANCO CHAIN8,652118302141,10.5,137,br9236,000,0006,X1731
159,BR9923,BRACELETS,"ORG LET STEEL MIX BRACELET8.5""",649558179754,15.5,24,br9923,000,0006,X1603
160,BRATDB1R,BRACELETS,RED DOUBL ITALIN LETR ANT-8.25,652118302301,21,35,bratdb1r,000,0006,X1912
161,BRATDB2GY,BRACELETS,"GREY DOUB ITALIN LET ANT-8.25""",652118302318,21,43,bratdb2gy,000,0006,X1806D
162,BRATDB3K,BRACELETS,"BLK DOUBL ITLIN LETH ANT-8.25""",652118302325,21,85,bratdb3k,000,0006,X1918/BVS
163,BRATS3K,BRACELETS,BLK SINGLE ITLIN LETHR ANT-8.5,652118302332,15.5,104,brats3k,000,0006,X1916
164,BRCF0015,BRACELETS,"CF & STL CRSS LNK BR 8.25""",649558175749,31,13,brcf0015,000,0006,X1892
165,BRCF0017,BRACELETS,"CF MDCL ID & STL CHN BR 8.25""",649558175701,31,29,brcf0017,000,0006,X1979
166,BRCF089,BRACELETS,CRBN FBR & IP BLK LINK BR,652118302714,67,119,brcf089,000,0006,X3217
167,BRCF0892,BRACELETS,CRBN FBR & IP BLK BR STL SCRW,839546726910,67,11,brcf0892,000,0006,X3220
168,BRCF097,BRACELETS,CRBN FBR & STL LNK CZ ID,839546726934,64,18,brcf097,000,0006,X3219
169,BRCF163,BRACELETS,BLUE & SOLID CRBN FBR CTR BR,649558178559,69.5,121,brcf163,000,0006,X3248/AF31
170,BRD01K,BRACELETS,INOX BLACK DOUBLE LEATHER 6MM,839546987274,23,2,brd01k,000,0006,X1597
171,BRD05B,BRACELETS,INOX BLUE DOUBLE LEATHER 6MM,839546681905,23,134,brd05b,000,0006,X1356
172,BRDDS01,BRACELETS,BLK IP RECT RVRSBL BR7.75+ADJ,839546694387,23,67,brdds01,000,0006,X1707
173,BRDDS02,BRACELETS,BLK IP H LNK RVRSBL BR7.75+ADJ,839546694394,23,75,brdds02,000,0006,X1708
174,BRDDS03,BRACELETS,BLK IP&RSGLD RVRSBL BR7.75+ADJ,839546694400,23,-65,brdds03,000,0006,X1710/AF01
175,BRDDS04,BRACELETS,"IP GLD RVRSBL BR7.75""+ADJ",839546694417,23,75,brdds04,000,0006,X1699
176,BRDDS06,BRACELETS,DBL SD BLK&STL TRIMESH ADJ,649558205088,23,63,brdds06,000,0006,X3268
177,BRDDS08,BRACELETS,DBL SD BRSHD&POL STL BLK&STL A,652118302240,23,21,brdds08,000,0006,X3272
178,BRDS004B,BRACELETS,"CHALCOPYRITE/BRN LTHR BR 9.5""""",649558181849,31,94,brds004b,000,0006,X1826
179,BRDS1,BRACELETS,DUBL SIDE STL BAR BLK EDGE,652118302257,23,98,brds1,000,0006,X1521
180,BRDS2,BRACELETS,DUBL SIDE BLK&GREEK KEY,839546360848,15.5,61,brds2,000,0006,X1523/JP84
181,BRDS3,BRACELETS,DUBL SIDE BLK&BRW GREEK KEY7.2,839546360923,23,7,brds3,000,0006,X1525
182,BRDS4,BRACELETS,DUBL SIDE GLD&BLK,839546361005,15.5,121,brds4,000,0006,X1526/JP89
183,BRDS5,BRACELETS,DUBL SDE BLK IP RG BR7.75+ADJ,839546694424,23,32,brds5,000,0006,X1528
184,BRDS6,BRACELETS,"DUBLSDE BLK IP GLD BR7.75""+ADJ",839546694431,23,1,brds6,000,0006,X1529
185,BREL01,BRACELETS,"6MM MOORKITE, 26 STONE STRETCH",652118302844,15.5,12,brel01,000,0006,X1788
186,BREL02,BRACELETS,"6MM LAPIZ, 26 STONE CLER STRET",652118302851,15.5,-1,brel02,000,0006,X1790
187,BREL04,BRACELETS,6MM RED TURQUOISE26STONE STRET,652118302868,15.5,-1,brel04,000,0006,X1793
188,BRFIGMA,BRACELETS,"INOX BR FIGARO MEDICAL AL8.75""",839546499982,12.5,110,brfigma,000,0006,X1635
189,BRGP107,BRACELETS,"STL GOLD IP CURB CHAIN BR 8.5""",649558181504,7.75,78,brgp107,000,0006,X1638
190,BRGP110,BRACELETS,"STL GOLD IP CHAIN BR 8.5""""",649558181511,5.25,92,brgp110,000,0006,X1637
191,BRID1,BRACELETS,"INOX ID BRACELET 8 3/8""""""""",839546505997,13.5,94,brid1,000,0006,X1721
192,BRID3,BRACELETS,"INOX ENGRAVE ID BR 10MM 8.75""",649558179457,13.5,47,brid3,000,0006,X1910
193,BRL0237,BRACELETS,"STL BLK LTHR BR 8.5""",649558175633,10.5,41,brl0237,000,0006,X1640
194,BRL0242,BRACELETS,"STL BRN LTHR BR 8.5""",649558175640,10.5,2,brl0242,000,0006,X1561
195,BRL0735,BRACELETS,"STL CRBN FBR BEAD BR 8.25""",649558175657,15.5,0,brl0735,000,0006,X1966
196,BRL0761,BRACELETS,"STL CF BLK CW LTHR BR 8.25""",649558175626,22,48,brl0761,000,0006,X1968
197,BRL1121,BRACELETS,"IP GLD BLK MULTI LTHR BR 8.25""",649558175756,24,36,brl1121,000,0006,X1604/BVS
198,BRL1141,BRACELETS,"IP GLD BRN MULTI LTHR BR 8.25""",649558175770,24,34,brl1141,000,0006,X1606
199,BRL1160,BRACELETS,"STL BLK MULTI LTHR BR 8.25""",649558175763,24,66,brl1160,000,0006,X1627
200,BRL1168,BRACELETS,"STL BLUE MULTI LTHR BR 8.25""",649558175787,24,97,brl1168,000,0006,X1632
201,BRL32655,BRACELETS,"BLK LTHR/IP BLK CHN BR 8.5""",649558175596,12.5,196,brl32655,000,0006,X2048
202,BRL32655BRN,BRACELETS,"BRN LTHR/IP BLK CHN BR 8.5""",652118302349,12.5,196,brl32655brn,000,0006,X2045
203,BRLB833,BRACELETS,LEATHER BRACELET W/ BLUE & GRA,643765847925,31,120,brlb833,000,0006,X0878
204,BRLB869,BRACELETS,LEATHER BRACELET W/ BROWNNBLCK,643765847932,31,5,brlb869,000,0006,X0438
205,BRLB870,BRACELETS,LEATHER BRACELET W/ BROWNNBLCK,643765847949,31,0,brlb870,000,0006,X0440
206,BRLINK05,BRACELETS,EXTRA SELF ADJST LINK BRDDS05,652118302233,1.65,163,brlink05,000,0006,X2191
207,BRLINK-1284,TOOLS,EXTRA SELF ADJUST LINK BR12842,643765847574,3.15,57,brlink-1284,000,0006,X0591
208,BRLINK14414,TOOLS,EXTRA SELF ADJUST LINK BR14414,643765847567,3.15,25,brlink14414,000,0006,X0589
209,BRLINK16669,TOOLS,EXTRA SELF ADJUST LINK BR16669,643765847581,3.15,38,brlink16669,000,0006,X0590
210,BRLINK5441,TOOLS,EXTRA SELF ADJUST LINK BR4541,643765847550,2.7,37,brlink5441,000,0006,X0592
211,BRLS012,BRACELETS,BLACK LEATHER W/ SHINY STEEL B,643765848694,31,111,brls012,000,0006,X0193
212,BRLS014,BRACELETS,"BLACK LEATHER,BLUE BALLS",643765848700,31,27,brls014,000,0006,X0195
213,BRLS016,BRACELETS,"BROWN LEATHER, BLACK STEEL BAL",643765848717,31,20,brls016,000,0006,X0196
214,BRLS019,BRACELETS,"BLACK LEATHER , ROSEGOLD CABLE",643765848724,27,21,brls019,000,0006,X0198
215,BRLS501,BRACELETS,"STL TRIPLE CURB CHAIN BR 8.5""""",649558179358,26.5,59,brls501,000,0006,X1908
216,BRLT007,BRACELETS,"S STEEL BOLD  BOX BR 8.25""""",652118302554,23,41,brlt007,000,0006,X2006
217,BRLT007GLD,BRACELETS,"STL GOLD BOLD  BOX BR 8.25""""",652118301434,25,38,brlt007gld,000,0006,X2008
